StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q9,Q11,Q1,Q2,Q4,Q4_2_TEXT,Q4_3_TEXT,Q6,Q6_4_TEXT,Q3_1,Q3_2,Q3_3,Q3_4,Q5,Q7,Q8
2017-06-13 10:26:38,2017-06-13 10:31:37,IP Address,72.33.0.248,100,299,True,2017-06-13 10:31:38,R_2QXnFLrHFL6reDw,,,,,43.073104858398,-89.40119934082,anonymous,EN,infantll-madison,ManyBabies1,Other,"All of the noted changes were made PRIOR to the start of data collection. The audio change was made June 12, i.e. prior to the first data point collected in the lab.  1. New reference audio level: 74.7 dBA (silence level remains the same)  2. I may have forgotten to add the flashing light rate for the video used as an attention getter. It is roughly ~ 2 flashes per second. (no change - just wanted to be sure this information was shared in case I left it off the first form) ",At the start of data collection,,,,,,,,,,,
2017-06-13 10:58:08,2017-06-13 11:02:46,IP Address,72.33.0.248,100,278,True,2017-06-13 11:02:47,R_1pzB8827LtwdYu0,,,,,43.073104858398,-89.40119934082,anonymous,EN,infantll-madison,ManyBabies1,Other,"The reference audio reported both in the original form and in the amendment submitted on earlier today, June 13, reflect audio levels when BOTH side monitors are playing simultaneously. A more appropriate/ relevant level to report is the sound level when only one side monitor is playing (Left or Right), as on an actual trial in the study.  Sound level for the reference audio (for an individual monitor): 70.4 dBA  This sound level reflects what was set in the lab PRIOR to data collection.",At the start of data collection,,,,,,,,,,,
2017-08-15 06:23:17,2017-08-15 06:23:43,IP Address,134.34.80.207,100,25,True,2017-08-15 06:23:43,R_2xwJUW7gmkAIgXn,,,,,47.666702270508,9.1833038330078,anonymous,EN,,,,,,,,,,,,,,,,
2017-09-15 09:47:39,2017-09-15 09:48:24,IP Address,160.36.143.245,100,44,True,2017-09-15 09:48:25,R_UnFhrH4lqPzEF8J,,,,,35.990097045898,-83.962196350098,anonymous,EN,utk-infantlanglab,,,,,,,,,,,,,,,
2017-09-27 04:51:45,2017-09-27 05:00:16,IP Address,138.246.2.43,100,511,True,2017-09-27 05:00:18,R_2VdmElAKK1M9sSH,,,,,48.149993896484,11.583297729492,anonymous,EN,babylab-lmu,ManyBabies1,Other,"For the months of August and September, our lab had to move to different rooms due to construction works. I took pictures of the replacement room for the eye tracking study and uploaded them in the video folder. I also measured the decibels: the average room noise was 44 DB, and the reference sound 70.5 DB. Which participants have been tested in which room is written in the participants data.",Other (please describe),,from 01/08/2017 to 27/09/2017,,,,,,,,,
2017-10-10 15:18:19,2017-10-10 15:24:01,IP Address,130.179.244.22,100,342,True,2017-10-10 15:24:02,R_3qp8FhQOnMg2m5j,,,,,49.814300537109,-97.153099060059,anonymous,EN,bll-umanitoba,"ManyBabies1,ManyBabies1-Bilingual",update or revise my stopping rule,"Due to my need to properly mentor my student, who needs to present a post on her preliminary data on October 26th, I am about to become ""unblinded"" to the current state of our lab internal data. I am therefore making a slightly clearer statement regarding my stopping rule so as to lock myself in as best I can before becoming unblinded, as our original statement was a bit vague. It's not a change, exactly, just trying to be a bit more explicit to reduce our researcher degrees of freedom.  Between now and April 30th, 2018, we will continue to run babies in all 6 groups (4 monolingual and 2 bilingual age groups), attempting to get at least N =16 in each group, recruiting all babies available in the laboratory database, and continuing to recruit in all 6 groups beyond N = 16. Data collection will stop for a given age group when the stopping date is reached OR when a given group reaches N = 32, which comes first. At the current time, there are no funds available for additional major recruitment mailouts. However, should additional funds be made available (either through the currently-applied-for small grant from CHRIM, or through APS funding, or any other sources that become available to us), one more mailout will be conducted between now and the April 30th deadline.   Should the April 30th deadline be extended by the ManyBabies governing board, such an extension of data collection would ONLY be used by our laboratory to attempt to reach N =16 for any of the groups that are below this N on April 30th, and/or for follow-up studies that do not directly alter our base N's for the main study. ",Starting on a specific date (please list),"October 10, 2017",,Other (please specify),see above comments.,,,,,,,
2017-10-31 09:26:13,2017-10-31 12:31:12,IP Address,160.36.143.245,100,11098,True,2017-10-31 12:31:12,R_12nKIXQJ5MFIvW1,,,,,35.990097045898,-83.962196350098,anonymous,EN,utk-infantlanguagelab,ManyBabies1,"update or revise my number and/or age distribution of participants,update or revise my procedure","We tested 7 extra 14-month-old babies because so many families responded simultaneously to our call for participants.  Due to their enthusiasm, we wanted to make sure and give them the opportunity to participate.   ",At the start of data collection,,,,,,32,,32,,"Our maximum trial time was erroneously set at 21 seconds.  However, the audio stimuli ended at the appropriate time (i.e. 18 seconds).  Thus, if a child looked beyond 18 seconds on any given trial, they continued to see the attention getter but were not presented with any additional audio.  ","Given that the audio stopped playing at 18 seconds, it may make sense to truncate all looking times &gt;18 seconds to 18 seconds.  We have not modified any of the submitted data.   "
2017-11-01 10:22:52,2017-11-01 10:32:46,IP Address,129.11.203.55,100,593,True,2017-11-01 10:32:47,R_2zSmZRGHjjmVoW8,,,,,53.800003051758,-1.5832977294922,anonymous,EN,lcdu-leeds,ManyBabies1,Other,"There are three amendments to our lab questionnaire (submitted 12 May 2017) due to changes taking place between planning the study and starting data collection. These decisions were NOT influenced by knowledge of the data collected so far, since they were made before data collection began.  Q20. Participants are compensated as follows: Toys/books Stickers Cash ?10  Q38. 71.5 dBA using reference audio, 38.5 dBA without. Recorded using Decibel 10 app on a Samsung Android phone, calibrated using iOS version.  Q41. This protocol change form supersedes the note Q41.",At the start of data collection,,,,,,,,,,,
2017-11-10 10:29:41,2017-11-10 10:39:02,IP Address,193.225.200.92,100,561,True,2017-11-10 10:39:02,R_6VESot5Fj81j9Tz,,,,,47.498596191406,19.049896240234,anonymous,EN,,"ManyBabies1,ManyBabies1-Bilingual,Gaze Following study",Other,"We did not start data collection yet. I am just providing additional details that I did not know at the initial submission of the Lab Questionnaire. ",At the start of data collection,,,,,,,,,,,"'- Audio levels: 59 dBA with reference audio, 29 dBA without) - Filtering of participants before the lab visit: NONE. Prior to signed consent in person at the lab, we do not ask nor gather any information about child, except for date of birth, gender, contact for parents/caretakers and whether he/she has siblings already registered in our database."
2017-11-20 02:07:32,2017-11-20 02:12:21,IP Address,193.140.194.43,100,289,True,2017-11-20 02:12:22,R_2bUKiQbxoFSXtij,,,,,38.034698486328,27.55940246582,anonymous,EN,boun-bcl,ManyBabies1,Other,"We were planning to start data collection late-summer of 2017, but due to a construction that took place in our building, we had to pause all of our infant studies for couple of months. Therefore, we have started with the data collection in November.   Also, we did not specify decibel level in the original starting questionnaire and we would like to specify that as well: baseline - 35 dBA, reference - 66 dBA",At the start of data collection,,,,,,,,,,,
2017-11-21 17:44:56,2017-11-21 17:51:52,IP Address,142.103.251.111,100,416,True,2017-11-21 17:51:53,R_eyyH7yf3exQKqOt,,,,,49.463500976562,-122.82199859619,anonymous,EN,,ManyBabies1,update or revise my procedure,"During piloting of our eye-tracker, we have noticed that we cannot get babies under 6 months to calibrate. Thus, we have not collected any data in our younger group yet, despite attempting with ~10 babies and despite successfully collecting 6-9 mo old data in both MB1 and MB1-bilingual with our eye-tracking procedure.   We plan to continue using the eye-tracker for the older groups, but to switch to using a human-coder/single-screen procedure for the 3-6 group, which does not require calibration and which we successfully utilized as one of the 4 pilot labs for the MB1 procedure. Given that no data has been collected yet despite our attempts, we are listing this change as taking effect ""at the start of data collection.""  ",At the start of data collection,,,,,,,,,,"We had originally planned to use an eye-tracker for our older and younger age groups, but now we plan to use the single-screen method for our younger group, due to difficulty calibrating them on the eye-tracker. ",
2017-11-21 18:03:24,2017-11-21 18:06:31,IP Address,142.103.251.111,100,187,True,2017-11-21 18:06:32,R_2CIXQLwCSmsPcQI,,,,,49.463500976562,-122.82199859619,anonymous,EN,InfantCog-UBC,ManyBabies1,update or revise my procedure,"We initially proposed to study both 6-9 (monolingual and bilingual) and 3-6 mo olds (monolingual) using the eye-tracker procedure, but have discovered during piloting that we cannot get babies under 6 months to calibrate properly. Thus, while still piloting and before the start of data collection for the younger group, we have decided it would be better to switch to the single-screen method. We will continue using the eye-tracker method for our older groups (monolingual and bilingual) since they were calibrating properly during piloting and we have already moved onto real data collection. ",At the start of data collection,,,,,,,,,,"Move from eye-tracking to single-screen method for our 3-6 mo group. ",
2017-11-27 09:12:23,2017-11-27 09:14:46,IP Address,132.205.229.15,100,142,True,2017-11-27 09:14:46,R_ZlD7sQMzNsOBb7X,,,,,45.500900268555,-73.587699890137,anonymous,EN,irl-concordia,ManyBabies1-Bilingual,update or revise my stopping rule,"Since the time of registration, our ability to recruit the target homogeneous French-English bilingual population has been diminished, due to changes in government procedures that make obtaining infant birthlist information much more difficult.  This change in our stopping rule will allow us to at least contribute a heterogeneous sample of bilinguals.  This change was not influenced by knowledge of the data collected so far.",Starting on a specific date (please list),"Nov 27, 2017",,Other (please specify),See below for details,,,,,,,"The change is for our stopping rule for bilinguals. Note that the stopping rule for monolinguals is unchanged (target N = 16/age). We will collect data from heterogeneous bilinguals (English-Other where ther could be French or any other language) until we achieve a sample of N = 16 heterogeneous bilinguals per age group or the deadline for data collection is reached.  If we complete the heterogeneous sample before the deadline, we will continue to collect data ONLY from English-French homogenous population until we reach N =16 English-French bilinguals or the deadline for data collection is reached. "
2017-11-29 18:17:10,2017-11-29 18:17:14,IP Address,130.54.130.243,100,4,True,2017-11-29 18:17:15,R_3MzAN08rNe8FajV,,,,,35.021392822266,135.75561523438,anonymous,EN,,,,,,,,,,,,,,,,
2017-12-18 10:19:16,2017-12-18 10:25:08,IP Address,194.95.183.21,100,351,True,2017-12-18 10:25:09,R_1q3sDpS0MeWhHIr,,,,,51.36669921875,12.38330078125,anonymous,EN,esco-mpicbsLeipzig,ManyBabies1,update or revise my stopping rule,"We have tested 16 instead of 18 babys. This was not at all influenced by the knowlegde of the data, I had no access to the data or information about fuss-outs by that time. The reason is that we had scheduled 2 more babys than needed at our last day of testing to prepare for very likely cancellation due to sickness of babys and we had to finish testing that day. That is why invited 2 more parents than needed to make sure we get 16 to the lab that day. All of the invited parents came to the lab that day, making it 2 more babys in our sample. We did not want to disappoint parents and therefore did not cancel the appointment of the last 2 babys last minute but decided to test them in addition. ",Starting on a specific date (please list),11th december 2017,,Other (please specify),"we invited 2 more babys than needed to prepare for possible cancellation due to sickness of the baby. All parents came to the lab making it 18 instead of 16 babys tested. We did not want to disappoint parents and cancel their appointment last minute. ",,,,,,,
2017-12-21 03:29:24,2017-12-21 04:58:45,IP Address,194.95.183.21,100,5360,True,2017-12-21 04:58:46,R_31d6yeEGo7J8jFE,,,,,51.36669921875,12.38330078125,anonymous,EN,esco-mpicbsleipzig,ManyBabies1,update or revise my number and/or age distribution of participants,"We have tested the age group 3 - 6 months and have one baby with an age of 184 days, meaning 1 day over the limit. This is due to the fact that the baby's birthday and testing days was exactly 6 months apart, meaning (as an example): birthday  1st of january and testing date 1st of  July, but summed up to 184 days for this particular baby.  ",Other (please describe),,when calculating the age of the participants,,,other,16,,,"17 (see other changement dorm) 3-6 months and 1 6-9 months ",,
2018-01-10 02:13:40,2018-01-10 02:20:33,IP Address,131.211.190.148,100,413,True,2018-01-10 02:20:33,R_21BLOxD6gJqXl3l,,,,,52.091598510742,5.122802734375,anonymous,EN,babylab-utrecht,ManyBabies1,Other,"When filling in the questionnaire, the tech-guy was sick. Therefor, we did not know what the the decibel level of the stimuli measured at in your testing booth was and we did not know what the frame-rate of the flickering light was. This had nothing to do with knowledge of the data collected so far, nor with fuss-out rate or any other characteristics of the data.",At the start of data collection,,,,,,,,,,,"The maximum reached power during playback of the reference audio was 75.0±0 dB(A) SPL, 35.6±1.6 without (n=3, 10 sec.).  The animation scales up and down with an amplitude of 25% (min. 75% to max. 125%) in a sine wave at 0.5 Hz (or every 2 seconds): 1 + 0.25 * sin(2.0 * π * 0.5 * t)."
2018-01-23 04:15:25,2018-01-23 04:21:10,IP Address,138.246.2.49,100,345,True,2018-01-23 04:21:11,R_1gRRDWMw9EchFyN,,,,,48.149993896484,11.583297729492,anonymous,EN,babylab-lmu,ManyBabies1,update or revise my number and/or age distribution of participants,"We originally signed up for a full 12-15 months sample, a full 9-12 months sample and half a 6-9 months sample. However, we had  problems with the recruitment of the younger children, thus we decided to focus on the two older groups and not test the younger half-sample.  We normally recruit our participants through a database of addresses of families that have children in the age-range that we are interested in. We normally receive the updated database from an office of the city hall, more or less in two months after our request. However, this time it is taking much longer than expected, and we don't have the addresses of the families with 6-9 months old babies yet. Thus, it is unlikely that we will be able to test enough 6-9 months old children for a half-sample by the 30th of April, because we don't have other sources for recruitment of children in that age range. For this reason, we decided to focus on finishing the two older full groups and drop the 6-9 months half-sample. This decision is not in any way influenced by knowledge of the data collected so far.",Starting on a specific date (please list),15/01/2018,,,,None,None,32,32,,,
2018-02-21 15:58:04,2018-02-21 16:03:03,IP Address,111.239.76.144,100,299,True,2018-02-21 16:03:04,R_veMqWJDQWt4yOeB,,,,,35.690002441406,139.69000244141,anonymous,EN,kyoto-babylab,ManyBabies1,update or revise my procedure,"We used the old stimuli instead of the the final version ",At the start of data collection,,,,,,,,,,"We mistakenly used old stimuli of Training, IDS and ADS (21-second version) instead of new 18 second version from the beginning of the experiment.",
2018-04-26 06:00:37,2018-04-26 06:06:18,IP Address,137.111.13.204,100,340,True,2018-04-26 06:06:18,R_xaV2hKEzFgpV1IJ,,,,,-33.777801513672,151.10571289062,anonymous,EN,MQ-CLL,ManyBabies1,cancel my registration in ManyBabies (I will NOT be contributing data to ManyBabies),"The withdrawal is due to poor planning by the CI combined with vast challenges with participant recruitment, which were further enhanced by a change in lab coordination personnel (see details below). This decision was NOT influenced by the data collected so far. In fact, the absence of babies to collect data for was the primary reason to cancel our registration.  Our lab was only ready to start collecting data mid December. Given the need to have two experimenters present, we only had our personnel on the ground end January.  Due to the bilingual population in our area, our lab database didn’t contain a single infant that met the criteria when we started testing. We have tried several avenues for baby recruitment (flyer drop-offs at daycares, paid Facebook ads, our newsletter, uni sports centre), which resulted in one participant by mid Feb. When I had to make the call whether or not to go full force ahead with participant recruitment, our lab coordinator resigned for a very positive career move, leaving us without a coordinator for the crucial six weeks for ManyBabies recruitment. At that point, I made the executive decision to not pursue this, as it looked like the projected number of babies was 4 or 5.",At the start of data collection,,,,,,,,,,,
2018-04-27 03:51:34,2018-04-27 04:12:37,IP Address,129.20.205.136,100,1263,True,2018-04-27 04:12:38,R_2Y9f7k74LxROCmB,,,,,48.065093994141,-1.7209014892578,anonymous,EN,ethos-rennes,ManyBabies1,"update or revise my number and/or age distribution of participants,update or revise my procedure",We added an age group (6-9 mo) to the previous one (3-6 mo) at the beginning of our data collection because of postal problems that delayed our mailing (so the infants were older than expected and we decided to extend our data collection). These postal problems led us to collect data on more than the expected 32 babies.,At the start of data collection,,,,,other,other,,,"3-6 mo : 54, 6-9 mo : 51","Is the infant held by the caregiver ? as previously planned, no for 3-6 mo, but yes for 6-9 mo","Mean dBA mesures : 59 dBA  (for 3-6 mo) and 56 dBA  (for 6-9 mo) using reference audio, 31 dBA without (i.e. background noise).  The sound level meter used was PHONIC PAA3. "
2018-04-27 08:33:34,2018-04-27 08:37:33,IP Address,138.246.2.56,100,239,True,2018-04-27 08:37:34,R_3GuMNj4V55I8h9J,,,,,48.149993896484,11.583297729492,anonymous,EN,babylab-lmu,ManyBabies1,Other,"I would like to make a change to the proposed authors from our lab. In the original questionnaire the authors were Markus Paulus, Carolina Pletti and Alyssa Torske. Since Alyssa Torske in the end contributed only very little to the data collection, she unfortunately does not meet the criteria for authorship.",Other (please describe),,now that the data collection is over I have an overview of how much time anyone dedicated to the project,,,,,,,,,
2018-05-15 06:40:14,2018-05-15 06:44:46,IP Address,155.245.59.196,100,272,True,2018-05-15 06:44:47,R_1hTk7q8MY7qkETB,,,,,51.949996948242,1.0666961669922,anonymous,EN,babylab-essex,ManyBabies1,update or revise my number and/or age distribution of participants,"We have to reduce the group size for 2 groups, for 2 reasons: - last year: the student trained to run MB tested only a handful before going home for most of her placement duration - this year: volunteer families on our database were in limited numbers or not responding to our invitations",Starting on a specific date (please list),April 208,,,,,16,16,16,,,
2018-06-03 14:54:34,2018-06-03 15:04:27,IP Address,70.51.73.135,100,593,True,2018-06-03 15:04:27,R_2DOBSi3luQloGHB,,,,,43.899993896484,-78.800003051758,anonymous,EN,ldl-ottawa,ManyBabies1,update or revise my number and/or age distribution of participants,"We were limited in the number of participants due to fewer numbers of infants coming through the lab than expected. ",Starting on a specific date (please list),June 1,,,,16,16,16,other,8,,
2018-06-05 04:22:36,2018-06-05 04:41:43,IP Address,161.73.228.80,100,1147,True,2018-06-05 04:41:44,R_3nJFucsPSZPvrpR,,,,,51.75,-1.25,anonymous,EN,babylab-brookes,ManyBabies1,update or revise my number and/or age distribution of participants,"Initially, we were only testing for the MB1: 3-6 months (N=16) and 12-15 months (N=32). However, since we are also participating in the MB1-Bilingual, we starting also testing 6-9 months (N=16), so we will give you an extra group. The problem is that although we have tried very hard to complete the 32 12-15 months, we just haven't been able to test them all, many of the ones having the right age, have already participated in the study between 6-9months. We can keep testing after the deadline to complete the sample if needed.   ",Other (please describe),,Not being able to complete the sample before the deadline,,,16,16,,other,24,,
2018-06-06 04:17:51,2018-06-06 04:22:17,IP Address,129.20.205.136,100,265,True,2018-06-06 04:22:18,R_3kojuh2tFAEGxls,,,,,48.065093994141,-1.7209014892578,anonymous,EN,ethos-Rennes,ManyBabies1,Other,"Please add a third author : Chloé Leservoisier, the undergraduate student who participated to the entire process of data collection with us (Stéphanie BARBU & Virginie Durier)",At the start of data collection,,,,,,,,,,,
2018-06-06 07:47:44,2018-06-06 07:51:39,IP Address,129.199.81.194,100,235,True,2018-06-06 07:51:40,R_3s0xU2Zckbx70sg,,,,,48.716705322266,2.2490997314453,anonymous,EN,lscp-psl,"ManyBabies1,ManyBabies1-Bilingual",Other,"We tested the first five kids, which all ended up crying and leaving mid-way. Because of this high fuss-out rate, we changed the following: 1. Different video during camera setup (our regular video, Fantasia).  2. Different calibration sound, not a car horn but bells (it was taken from the same folder as the car horn). 3. Smaller checkerboard - our screen is bigger than many other labs, and we felt this was threatening. 4. Volume, which we felt was too strong - the new volume was measured to be 78 dBA using reference audio, 37.6 dBA without.",Starting on a specific date (please list),2018-03-04,,,,,,,,,,
2018-06-14 09:11:55,2018-06-14 09:16:56,IP Address,134.225.85.89,100,300,True,2018-06-14 09:16:56,R_3FJWp5igVmtMwrH,,,,,51.433303833008,-1,anonymous,EN,babylab-reading,ManyBabies1,"update or revise my number and/or age distribution of participants,Other","1. Please include our measurement of sound levels:  Reference: 45dBA Background: 35dBA  2. We have uploaded our data apart from the video, which should be done by the end of today (May 14 2018)   3. Unfortunately we hit a number of quite serious problems which we battled to deal with but in the end could only run 9 infants. Really sorry about this. Mostly the problem was two things: (a) the supply of infants via the hospital totally dried up (b) the lab kept breaking. ",At the start of data collection,,,,,,,other,,9,,N=3 probably violate the monolingual criterion. Really sorry about this.
2018-06-15 08:50:00,2018-06-15 09:01:28,IP Address,130.88.240.66,100,688,True,2018-06-15 09:01:28,R_3lxbNgH1fQZqZOF,,,,,53.466293334961,-2.1342010498047,anonymous,EN,childlab-manchester,ManyBabies1,"update or revise my number and/or age distribution of participants,update or revise my procedure",,Starting on a specific date (please list),15/6/2018,,,,,other,other,,10 6-9mo and 12 9-12mo,"Participant Numbers: Recruitment difficulties led to testing fewer infants than expected by the deadline.  Methodological change:  Due to a bug in the version of experimenter Builder software we were using, some trials were not triggering the end of the trial properly.  On the advice from eyelink, we added an additional trigger regarding the disappearance of the target (e.g., when the infant looked away).  This generally worked fine but some trials the infant would look away but the target was still visible, failing to trigger the trial end even though looking was no longer being recorded.  We analysed the data so that it samples the looking and ends after a 2s look-away (even if the sound continued) as the analysis originally intended but we also have the alternative data set available if that is preferable. ",
2018-06-15 13:27:00,2018-06-15 13:31:50,IP Address,70.50.27.64,100,290,True,2018-06-15 13:31:50,R_2tGv1ZEcEhb1QKO,,,,,43.541900634766,-79.616401672363,anonymous,EN,trainorlab-mcmaster,ManyBabies1,update or revise my stopping rule,"I forgot to previously fill out this change form. We collected 23 infants for a 6-9mo monolingual English sample, and after the 23rd session realized that lookaway time was set to 3000ms instead of 2000ms. The program was immediately altered and all subsequent infants were tested with a lookaway time of 2000ms starting Feb. 1, 2018. Our plan was then to collect as many babies as possible in 6-9mo bin until the RA responsible for the project left campus for the summer mid-April. The decision was not altered by fuss-out rates or patterns in the data. ",Starting on a specific date (please list),"Feb. 1, 2018",,I am switching from a specific N to a specific data collection period,,,,,,,,
2018-06-15 12:10:50,2018-06-15 13:52:10,IP Address,129.171.249.137,100,6079,True,2018-06-15 13:52:11,R_3Pt1aRjf47scSqf,,,,,25.720001220703,-80.270698547363,anonymous,EN,,ManyBabies1,Other,,At the start of data collection,,,,,,,,,,,
