StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q1,Q2,Q5,Q6,Q7,Q9,Q13,Q14,Q14_5_TEXT,Q15,Q15_8_TEXT,Q16,Q16_5_TEXT,Q17,Q17_4_TEXT,Q10,Q11,Q18,Q19,Q19_5_TEXT,Q20,Q20_8_TEXT,Q21,Q21_1_TEXT,Q21_3_TEXT,Q22,Q23,Q23_3_TEXT,Q24,Q24_5_TEXT,Q25,Q25_4_TEXT
2018-06-29 03:02:26,2018-06-29 03:15:42,IP Address,83.83.131.246,100,795,True,2018-06-29 03:15:42,R_2v1fxwELs2AMKOk,,,,,52.022003173828,5.1652069091797,anonymous,EN,utrecht-babylab,6,1 (Not at all new),Between 50 and 199 participants,"Had been working for at least a few months, but less than a year",10-19 hours per week,200 meters,2,"Medium visual clutter: Wall decoration, extra furniture, several objects, books or toys are visible to the child",,3,,"Down the hall – leave the warmup area, walk down a hallway, and enter testing area",,Families complete paperwork before the session and spend some time warming up/settling in with the experimenter before transitioning to the study,,white,"The light levels are low, but not ""dark""","width 185 cm, depth 185 cm, height 197 cm; light set to approx. 65 lux","Minimal visual clutter: Some wall decoration, some objects/toys/books are visible, but the majority are packed away or otherwise not visible",,1 (very peaceful),,No,,,3x 15″ monitor Benq GW2406z (IPS-VA technology.)  (HTP: center; right; left display monitors),"No, the experimenter left the room prior to testing.",,Caregiver wore headphones playing masking music,,No instructions/equipment was given,
2018-06-29 04:47:23,2018-06-29 04:52:37,IP Address,51.9.155.129,100,313,True,2018-06-29 04:52:37,R_BQFktF59cG9Vtst,,,,,54.046493530273,-2.7996978759766,anonymous,EN,lancslab,5,4,Between 10 and 49 participants,Had been working for 1-2 years,5-9 hours per week,1 meter - we have reserved parking spaces for participants' parents at the lab entrance.,"1, or 3 if parents bring a sibling (1 to babysit, 1 to ensure no lone working)","High visual clutter: Many toys, objects, books are out and visible all around the room. A well-stocked or active 'playroom' feeling",,6,,"Down the hall – leave the warmup area, walk down a hallway, and enter testing area",,Families complete paperwork before the session and spend some time warming up/settling in with the experimenter before transitioning to the study,,"White, with large colourful wall stickers depicting animals and trees","The light level is pretty dark, but not completely turned off","Curtained off section of larger room, approx 1.5 x 1.5 meters",No clutter: Totally bare walls and necessary furniture only (the visual stimuli are the only exception),,2,,No,,,"Monitor is 1920 x 1080 (sorry, I can't be more precise as I no longer have access to that lab)","Yes, the experimenter was in the same room but was not visible to the infant during testing",,Caregiver wore headphones playing masking music,,Caregiver was asked to close their eyes,
2018-06-29 05:12:30,2018-06-29 05:19:30,IP Address,24.203.105.47,100,419,True,2018-06-29 05:19:30,R_Zkvf9wem99pFJCh,,,,,45.5,-73.583297729492,anonymous,EN,irl-concordia,7 (Exclusively),3,Between 50 and 199 participants,Had been working for 1-2 years,10-19 hours per week,100 meters,2,"Medium visual clutter: Wall decoration, extra furniture, several objects, books or toys are visible to the child",,4,,Adjacent rooms or very close,,Families complete paperwork before the session and spend some time warming up/settling in with the experimenter before transitioning to the study,,Beige,"The light level is pretty dark, but not completely turned off",3m x 2m,No clutter: Totally bare walls and necessary furniture only (the visual stimuli are the only exception),,1 (very peaceful),,No,,,"24"" diagonal","No, the experimenter left the room prior to testing.",,Caregiver wore headphones playing masking music and scrambled stimuli,,"Caregivers were given a visor, blindfold, or blocked sunglasses to cover their eyes",
2018-06-29 05:21:09,2018-06-29 05:27:31,IP Address,75.75.63.190,100,381,True,2018-06-29 05:27:32,R_3MMcVg7lGzVw8pe,,,,,38.498199462891,-78.866798400879,anonymous,EN,JMUCDL,1 (Not at all),4,More than 200 participants,Had been working for more than 2 years,5-9 hours per week,500 ft,1,No clutter: Totally bare walls and necessary furniture only,,3,,"Down the hall – leave the warmup area, walk down a hallway, and enter testing area",,Families complete paperwork before the session and spend some time warming up/settling in with the experimenter before transitioning to the study,,White,"The light levels are low, but not ""dark""",20*20 feet,No clutter: Totally bare walls and necessary furniture only (the visual stimuli are the only exception),,2,,Yes (please explain),"Coding, analyzing, etc",,,"Yes, the experimenter was in the same room but was not visible to the infant during testing",,Caregiver wore headphones playing masking music,,No instructions/equipment was given,
2018-06-29 05:29:41,2018-06-29 05:41:23,IP Address,155.245.59.196,100,701,True,2018-06-29 05:41:23,R_40LJQHKZJPPhoNr,,,,,51.908599853516,0.9208984375,anonymous,EN,babylablang-essex,6,3,Fewer than 10 participants,Recruited within a few weeks of the beginning of data collection,fewer than 5 hours per week,400m,1,"Minimal visual clutter: Some wall decoration, some objects/toys/books are visible, but the majority are packed away or otherwise not visible",,4,,Adjacent rooms or very close,,Families complete paperwork before the session and spend some time warming up/settling in with the experimenter before transitioning to the study,,"1 wall with colourful wall paper (big jungle animals, handy for word naming), other wall with high up shelves/neutral colour","The light level is pretty dark, but not completely turned off","1.5m wide, 2.20m deep (eye tracker is on a desk)",No clutter: Totally bare walls and necessary furniture only (the visual stimuli are the only exception),,2,,No,,,17 inches diagonal (1280 * 1024 pixels),"No, the experimenter left the room prior to testing.",,Caregiver wore headphones playing masking music,,This doesn't apply to my lab/other (please explain),Parents sit behind the child so no instruction is given
2018-06-29 05:29:22,2018-06-29 05:45:39,IP Address,68.82.169.128,100,977,True,2018-06-29 05:45:39,R_VKe2ClSUfsHtJvz,,,,,39.949401855469,-75.145698547363,anonymous,EN,babylab-potsdam,7 (Exclusively),1 (Not at all new),Between 50 and 199 participants,"Had been working for at least a few months, but less than a year",5-9 hours per week,"large parking area only 10 metres away from entrance, bus and train stop about 200 metres",1,"High visual clutter: Many toys, objects, books are out and visible all around the room. A well-stocked or active 'playroom' feeling",,5,,Adjacent rooms or very close,,Families complete paperwork quickly before proceeding to testing room,,"in general all white, the HPP booth is made from fabric so it is rather a very light beige","The light levels are low, but not ""dark""","HPP: 2 x 2 metres = 6.5 x 6.5 ft; the SSF is in a room which is separated by a moveable wall, the space would be appr. 4 x 4 metres",No clutter: Totally bare walls and necessary furniture only (the visual stimuli are the only exception),,1 (very peaceful),,This doesn't apply to my lab (please explain),,"No for HPP, Yes for SSF: this is also used for eye tracking and other tests",24,This doesn't apply to my lab (please explain),"HPP: No, SSF: Yes, the experimenter was in the same room but was not visible to the infant during testing",Caregiver wore headphones playing masking music and scrambled stimuli,,Caregiver was asked to close their eyes,
2018-06-29 06:35:25,2018-06-29 06:51:31,IP Address,65.79.145.244,100,965,True,2018-06-29 06:51:31,R_3JgC5mKCgt0xvff,,,,,41.955993652344,-87.660697937012,anonymous,EN,pocd-northwestern,5,2,More than 200 participants,Had been working for more than 2 years,30 or more hours per week,400 feet,1,"Medium visual clutter: Wall decoration, extra furniture, several objects, books or toys are visible to the child",,2,,Adjacent rooms or very close,,Families complete paperwork before the session and spend some time warming up/settling in with the experimenter before transitioning to the study,,white,"The light levels are low, but not ""dark""",10 X 10,No clutter: Totally bare walls and necessary furniture only (the visual stimuli are the only exception),,2,,No,,,24-inches,"Yes, the experimenter was in the same room but was not visible to the infant during testing",,Caregiver wore headphones playing masking music and scrambled stimuli,,No instructions/equipment was given,
2018-06-29 07:35:22,2018-06-29 07:51:52,IP Address,129.252.33.200,100,989,True,2018-06-29 07:51:52,R_yI9V3frtPf62DJL,,,,,33.993698120117,-81.019897460938,anonymous,EN,MindevLab-Bicocca,2,1 (Not at all new),More than 200 participants,Had been working for more than 2 years,30 or more hours per week,330 ft,1,"Medium visual clutter: Wall decoration, extra furniture, several objects, books or toys are visible to the child",,5,,Adjacent rooms or very close,,Families complete paperwork before the session and spend some time warming up/settling in with the experimenter before transitioning to the study,,white and gray with some colorful stickers depicting animals,The lights are turned completely off,10ft by 16ft,No clutter: Totally bare walls and necessary furniture only (the visual stimuli are the only exception),,1 (very peaceful),,No,,,21 by 13.5,"Yes, the experimenter was in the same room but was not visible to the infant during testing",,Caregiver wore headphones playing masking music,,No instructions/equipment was given,
2018-06-29 08:09:11,2018-06-29 08:11:27,IP Address,68.82.169.128,100,135,True,2018-06-29 08:11:27,R_2DSmrNpRbSBIOs9,,,,,39.949401855469,-75.145698547363,anonymous,EN,babylab-potsdam,,,,,,,,,,,,,,Other (please explain),"it is between option 2 and 3: consent forms need to be filled out at home (because we need signatures from both parents), the rest is done quickly before the experiment, the mb1 questionnaire and reimbursement after",,,,,,,,,,,,,,,,,
2018-06-29 08:11:12,2018-06-29 08:11:42,IP Address,83.83.131.246,100,30,True,2018-06-29 08:11:43,R_3OlxIskZheeLIcP,,,,,52.022003173828,5.1652069091797,anonymous,EN,utrecht-babylab,,,,,,,,,,,,,,Families complete paperwork before the session and spend some time warming up/settling in with the experimenter before transitioning to the study,,,,,,,,,,,,,,,,,,
2018-06-29 08:11:01,2018-06-29 08:12:25,IP Address,94.197.120.43,100,84,True,2018-06-29 08:12:26,R_7NX6kXryFpPcLjr,,,,,51.550003051758,0.16670227050781,anonymous,EN,Plymouthbabylab,,,,,,,,,,,,,,Families complete paperwork before the session and spend some time warming up/settling in with the experimenter before transitioning to the study,,,,,,,,,,,,,,,,,,
2018-06-29 08:14:55,2018-06-29 08:15:41,IP Address,51.9.155.129,100,46,True,2018-06-29 08:15:42,R_d76wJODXCAHSZsB,,,,,54.046493530273,-2.7996978759766,anonymous,EN,lancslab,,,,,,,,,,,,,,Families complete paperwork before the session and spend some time warming up/settling in with the experimenter before transitioning to the study,,,,,,,,,,,,,,,,,,
2018-06-29 08:17:46,2018-06-29 08:18:44,IP Address,178.232.32.229,100,58,True,2018-06-29 08:18:45,R_2y3ZLkpSZwBmCTe,,,,,59.904998779297,10.74870300293,anonymous,EN,babyling-uio,,,,,,,,,,,,,,Families complete paperwork before the session and spend some time warming up/settling in with the experimenter before transitioning to the study,,,,,,,,,,,,,,,,,,
2018-06-29 08:27:30,2018-06-29 08:28:11,IP Address,68.133.24.180,100,41,True,2018-06-29 08:28:12,R_dpseYPthRAbn5kZ,,,,,43.044097900391,-78.694900512695,anonymous,EN,chosunbaby,,,,,,,,,,,,,,Families complete paperwork before the session and spend some time warming up/settling in with the experimenter before transitioning to the study,,,,,,,,,,,,,,,,,,
2018-06-29 08:31:07,2018-06-29 08:32:08,IP Address,155.245.59.196,100,60,True,2018-06-29 08:32:08,R_2P1GoTUXmPuWyMW,,,,,51.908599853516,0.9208984375,anonymous,EN,babylablang-essex,,,,,,,,,,,,,,Families complete paperwork before the session and spend some time warming up/settling in with the experimenter before transitioning to the study,,,,,,,,,,,,,,,,,,
2018-06-29 08:32:55,2018-06-29 08:33:32,IP Address,107.191.0.58,100,37,True,2018-06-29 08:33:33,R_2QxPrdaQHPS8uOv,,,,,40.717407226562,-111.55339813232,anonymous,EN,CogDevLab-BYU,,,,,,,,,,,,,,Families complete paperwork before the session and spend some time warming up/settling in with the experimenter before transitioning to the study,,,,,,,,,,,,,,,,,,
2018-06-29 08:30:21,2018-06-29 08:39:23,IP Address,128.173.19.66,100,542,True,2018-06-29 08:39:24,R_3LjvkBMN5HBzweO,,,,,37.179092407227,-80.351501464844,anonymous,EN,iLEAP,6,1 (Not at all new),Fewer than 10 participants,"Had been working for at least a few months, but less than a year",10-19 hours per week,100 feet,two (three if an older sibling comes),"Medium visual clutter: Wall decoration, extra furniture, several objects, books or toys are visible to the child",,2,,"Down the hall – leave the warmup area, walk down a hallway, and enter testing area",,Families complete paperwork before the session and spend some time warming up/settling in with the experimenter before transitioning to the study,,slate gray (white ceiling),"The light levels are low, but not ""dark""",11 feet x 13 feet,No clutter: Totally bare walls and necessary furniture only (the visual stimuli are the only exception),,1 (very peaceful),,No,,,not sure but we reduced its size from the original file because it filled the screen.  We wanted to have some blank area around the checkerboard so that infants could look off of the image without having to turn their heads completely away from the viewing area.  I'll report the actual size in a follow up email.,"No, the experimenter left the room prior to testing.",,Caregiver wore headphones playing masking music,,"Caregivers were given a visor, blindfold, or blocked sunglasses to cover their eyes",
2018-06-29 08:45:54,2018-06-29 08:47:27,IP Address,134.126.113.212,100,93,True,2018-06-29 08:47:28,R_88m9dYc0nnELSQ9,,,,,38.440902709961,-78.874198913574,anonymous,EN,JMU_CDL,,,,,,,,,,,,,,Families complete paperwork before the session and spend some time warming up/settling in with the experimenter before transitioning to the study,,,,,,,,,,,,,,,,,,
2018-06-29 09:14:45,2018-06-29 09:21:25,IP Address,108.168.94.189,100,400,True,2018-06-29 09:21:26,R_2Xh6J8I48fZNfNR,,,,,43.85400390625,-79.020202636719,anonymous,EN,musdev-utm,3,1 (Not at all new),Fewer than 10 participants,Had been working for 1-3 months,10-19 hours per week,"Parking garage is in the basement of our building. Parents are met at designated spots, take elevator up to 4th floor, walk down a couple of hallways.",2,"Medium visual clutter: Wall decoration, extra furniture, several objects, books or toys are visible to the child",,4,,Adjacent rooms or very close,,Families complete paperwork quickly before proceeding to testing room,,black curtains cover the walls,"The light levels are low, but not ""dark""",9 by 9 feet,No clutter: Totally bare walls and necessary furniture only (the visual stimuli are the only exception),,1 (very peaceful),,No,,,I won't be back in the lab before ICIS. Best guess is the monitors are about 14 by 14 inches,"No, the experimenter left the room prior to testing.",,Caregiver wore headphones playing masking music,,No instructions/equipment was given,
