var,Description,QualtricsJSON,NewColName
Q43_1,"Bilingual ManyBabies sample    For your bilingual contribution, please indicate your expected contribution of (N of) infants in each age group. If your stopping rule as indicated below is a time period, this is simply an estimate of the number of babies you expect to collect during the study time period. If your stopping rule is a specific number of babies, this is a commitment to run exactly this number of babies unless you change your stopping rule as described above. Please note that you will also need to provide a monolingual sample in these age ranges, which should be listed above. - 6-9 month olds (184-274 days)","{""ImportId"":""QID43_1""}",
Q43_2,"Bilingual ManyBabies sample    For your bilingual contribution, please indicate your expected contribution of (N of) infants in each age group. If your stopping rule as indicated below is a time period, this is simply an estimate of the number of babies you expect to collect during the study time period. If your stopping rule is a specific number of babies, this is a commitment to run exactly this number of babies unless you change your stopping rule as described above. Please note that you will also need to provide a monolingual sample in these age ranges, which should be listed above. - 12-15 month olds (366-456 days)","{""ImportId"":""QID43_2""}",
Q44,"If you answered ""other"" to either of the age groups in the above question, please specify an exact N here.","{""ImportId"":""QID44_TEXT""}",
Q45,"For your bilingual contribution, your sample in each age group should share a single language that is consistent with your monolingual sample (e.g. If the monolingual sample is English-learning, the bilingual infants should all be learning English as one of their languages). Please contact k.byers@concordia.ca if this is not possible in your community. For the second language, will your sample be homogeneous or heterogeneous? - Selected Choice","{""ImportId"":""QID45""}",
Q45_3_TEXT,"For your bilingual contribution, your sample in each age group should share a single language that is consistent with your monolingual sample (e.g. If the monolingual sample is English-learning, the bilingual infants should all be learning English as one of their languages). Please contact k.byers@concordia.ca if this is not possible in your community. For the second language, will your sample be homogeneous or heterogeneous? - Other - Text","{""ImportId"":""QID45_3_TEXT""}",
Q47,"Some labs, particularly those involved in the ManyBabies Bilingual  project, will also contribute data on infant gaze-following as a second  study.   More information is available at https://osf.io/t5pb8/ and from Krista Byers-Heinlein (k.byers@concordia.ca).    Are you contributing data to the gaze-following study?","{""ImportId"":""QID47""}",
Q48_1,"For your contribution to the gaze-following study, please indicate your expected contribution of (N of) infants in each age group. If your stopping rule as indicated below is a time period, this is simply an estimate of the number of babies you expect to collect during the study time period. If your stopping rule is a specific number of babies, this is a commitment to run exactly this number of babies unless you change your stopping rule as described above. These babies may be run as a ""second study"" after the ManyBabies study. - 6-9 month mono (184-274 days)","{""ImportId"":""QID48_1""}",
Q48_2,"For your contribution to the gaze-following study, please indicate your expected contribution of (N of) infants in each age group. If your stopping rule as indicated below is a time period, this is simply an estimate of the number of babies you expect to collect during the study time period. If your stopping rule is a specific number of babies, this is a commitment to run exactly this number of babies unless you change your stopping rule as described above. These babies may be run as a ""second study"" after the ManyBabies study. - 6-9 month bil (184-274 days)","{""ImportId"":""QID48_2""}",
Q48_3,"For your contribution to the gaze-following study, please indicate your expected contribution of (N of) infants in each age group. If your stopping rule as indicated below is a time period, this is simply an estimate of the number of babies you expect to collect during the study time period. If your stopping rule is a specific number of babies, this is a commitment to run exactly this number of babies unless you change your stopping rule as described above. These babies may be run as a ""second study"" after the ManyBabies study. - 12-15 month mono (366-456 days)","{""ImportId"":""QID48_3""}",
Q48_4,"For your contribution to the gaze-following study, please indicate your expected contribution of (N of) infants in each age group. If your stopping rule as indicated below is a time period, this is simply an estimate of the number of babies you expect to collect during the study time period. If your stopping rule is a specific number of babies, this is a commitment to run exactly this number of babies unless you change your stopping rule as described above. These babies may be run as a ""second study"" after the ManyBabies study. - 12-15 month bil (366-456 days)","{""ImportId"":""QID48_4""}",
Q49,"If you answered ""other"" to either of the age groups in the above question, please specify an exact N","{""ImportId"":""QID49_TEXT""}",
Q5,Person completing this form,"{""ImportId"":""QID5_TEXT""}",
Q50,Will your gaze-following babies be second-session babies? - Selected Choice,"{""ImportId"":""QID50""}",
Q50_2_TEXT,"Will your gaze-following babies be second-session babies? - Yes, after a different study - Text","{""ImportId"":""QID50_2_TEXT""}",
Q50_4_TEXT,Will your gaze-following babies be second-session babies? - Other - Text,"{""ImportId"":""QID50_4_TEXT""}",
Q53,"For your gaze-following study contribution, will you be using - Selected Choice","{""ImportId"":""QID53""}",
Q53_3_TEXT,"For your gaze-following study contribution, will you be using - other - Text","{""ImportId"":""QID53_3_TEXT""}",
Q54,"Gaze-following sample    What is your stopping criterion for data collection for your gaze-following sample? Note that if circumstances change and you need to alter your stopping criterion, you may do so, provided a) you inform the study coordinators of the change and b) your reasons are not related to the infants' performance in the study or the number of discards. - Selected Choice","{""ImportId"":""QID54""}",
Q54_3_TEXT,"Gaze-following sample    What is your stopping criterion for data collection for your gaze-following sample? Note that if circumstances change and you need to alter your stopping criterion, you may do so, provided a) you inform the study coordinators of the change and b) your reasons are not related to the infants' performance in the study or the number of discards. - Other - Text","{""ImportId"":""QID54_3_TEXT""}",
Q55,What method will you be using to test your gaze-following infants? - Selected Choice,"{""ImportId"":""QID55""}",
Q55_3_TEXT,What method will you be using to test your gaze-following infants? - Other - Text,"{""ImportId"":""QID55_3_TEXT""}",
Q56,"Please briefly describe the expected language background of your  bilingual sample(s) (e.g., examples of expected language pairs, insofar as  this can be predicted head of time)","{""ImportId"":""QID56_TEXT""}",
Q57,"You have reached the end of the laboratory questionnaire! Congratulations. Once the global start date (May 1) has passed, and assuming you have ethics approval in place, you may begin data collection. We will have a series of group meetings in May. If you would prefer that we contact you one-on-one to go over things before you start data collection, please indicate below: - Selected Choice","{""ImportId"":""QID57""}",
Q57_3_TEXT,"You have reached the end of the laboratory questionnaire! Congratulations. Once the global start date (May 1) has passed, and assuming you have ethics approval in place, you may begin data collection. We will have a series of group meetings in May. If you would prefer that we contact you one-on-one to go over things before you start data collection, please indicate below: - Other - Text","{""ImportId"":""QID57_3_TEXT""}",
Q58,"One of the most important things for keeping track of all the different participating labs is having a unique and consistent identifier for each lab. Please choose an informative, lower-case identifier in the following format: labname-institution (e.g., langcog-stanford or babylab-princeton).You will use this in ALL data reports.","{""ImportId"":""QID58_TEXT""}",
Q59,"How is your Left-Right side presentation determined? (E.g. Fully Random, specify an order, Random with not more than 2 on the same side in a row)","{""ImportId"":""QID59_TEXT""}",
Q6,Please indicate that you have read the appropriate documentation related to the following topics:,"{""ImportId"":""QID6""}",
Q60,"If you are using flashing lights, or a flashing display, what is the blink rate of your visual display? - Selected Choice","{""ImportId"":""QID60""}",
Q60_4_TEXT,"If you are using flashing lights, or a flashing display, what is the blink rate of your visual display? - Other - Text","{""ImportId"":""QID60_4_TEXT""}",
Q7,"Please list one or two people from your lab who will be making an author-level contribution (in exceptional cases, more authors may be allowed), and their role on the project (consult the authorship guidelines for further information). We will update/confirm this information with you at the end of the year. If you are participating in the bilingual (and/or gaze-following) study, please clarify which authors will be involved with which studies.","{""ImportId"":""QID7_TEXT""}",
Q8,Please indicate the status of your ethics approval - Selected Choice,"{""ImportId"":""QID8""}",
Q8_4_TEXT,Please indicate the status of your ethics approval - Other - Text,"{""ImportId"":""QID8_4_TEXT""}",
Q9,"Please indicate if the planned start date for your data collection is later than the main ManyBabies1 start date of May 1, 2017. (Please do not start BEFORE the formal start date.)","{""ImportId"":""QID9_TEXT""}",
RecipientEmail,Recipient Email,"{""ImportId"":""recipientEmail""}",RecipientEmail
RecipientFirstName,Recipient First Name,"{""ImportId"":""recipientFirstName""}",RecipientFirstName
RecipientLastName,Recipient Last Name,"{""ImportId"":""recipientLastName""}",RecipientLastName
RecordedDate,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}",RecordedDate
ResponseId,Response ID,"{""ImportId"":""_recordId""}",ResponseId
StartDate,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}",StartDate
Status,Response Type,"{""ImportId"":""status""}",Status
UserLanguage,User Language,"{""ImportId"":""userLanguage""}",UserLanguage
