var,Description,QualtricsJSON,NewColName
Q6,"Prior to collecting data for ManyBabies (including pilot data), approximately how long had this person been working in infant experimental research including time in your laboratory and in other laboratories?","{""ImportId"":""QID6""}",Experimenter_labExperience
Q7,"On average over the course of the study, how many hours per week was this person working in the laboratory during the testing period?","{""ImportId"":""QID7""}",Experiment_hoursPerWk
Q9,"Approximately how far (in distance) is your laboratory from the parking lot where participants typically park or the nearest stop when they arrive by public transport? Please be sure to include the unit of distance (e.g. feet, meters). (If this question is inappropriate for your lab, please explain.)","{""ImportId"":""QID9_TEXT""}",Distance_parkingToLab
RecipientEmail,Recipient Email,"{""ImportId"":""recipientEmail""}",RecipientEmail
RecipientFirstName,Recipient First Name,"{""ImportId"":""recipientFirstName""}",RecipientFirstName
RecipientLastName,Recipient Last Name,"{""ImportId"":""recipientLastName""}",RecipientLastName
RecordedDate,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}",RecordedDate
ResponseId,Response ID,"{""ImportId"":""_recordId""}",ResponseID
StartDate,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}",StartDate
Status,Response Type,"{""ImportId"":""status""}",Status
UserLanguage,User Language,"{""ImportId"":""userLanguage""}",UserLanguage
